YEAR,MONTH,lluvia_mm,temp_max,temp_min,humedad,ph_suelo,Recomendacion
1981,JAN,0.10088563727377746,0.06635071090047395,0.3649517684887458,0.7310964083175806,0.6327212020033388,1
1982,JAN,0.12629957643434733,0.14218009478672977,0.3376205787781348,0.7613421550094515,0.687813021702838,3
1983,JAN,0.052368117058144016,0.330568720379147,0.6157556270096463,0.7225897920604911,0.5208681135225375,3
1984,JAN,0.02579899884482095,0.04028436018957349,0.19614147909967872,0.665879017013232,0.6310517529215358,1
1985,JAN,0.07393145937620332,0.013033175355450233,0.3938906752411573,0.6446124763705097,0.8363939899833055,1
1986,JAN,0.09664998074701579,0.05331753554502372,0.45176848874598075,0.6077504725897924,0.4808013355592654,2
1987,JAN,0.06083943011166732,0.10189573459715628,0.35209003215434076,0.7192816635160684,0.0016694490818029983,2
1988,JAN,0.09626492106276474,0.23933649289099534,0.07556270096463025,0.5368620037807181,0.9482470784641068,1
1989,JAN,0.016557566422795537,0.15165876777251208,0.6012861736334403,0.5018903591682418,0.4808013355592654,2
1990,JAN,0.06237966884867155,0.19075829383886234,0.5916398713826363,0.6134215500945173,0.24040066777963276,2
1991,JAN,0.1182133230650751,0.10426540284360186,0.23954983922829576,0.6507561436672971,0.9198664440734556,3
1992,JAN,0.004620716211012708,0.18364928909952605,0.37138263665594873,0.48629489603024556,0.1853088480801336,2
1993,JAN,0.010011551790527535,0.4585308056872037,0.4340836012861733,0.4163516068052928,0.4707846410684474,1
1994,JAN,0.0,0.33175355450236976,0.41318327974276525,0.32797731568998145,0.12020033388981632,2
1995,JAN,0.005390835579514825,0.3732227488151656,0.40836012861736326,0.3497164461247637,0.13856427378964942,2
1996,JAN,0.05429341547939931,0.17061611374407626,0.36334405144694526,0.5954631379962194,0.1419031719532554,2
1997,JAN,0.07662687716596073,0.1872037914691944,0.12218649517684876,0.47920604914933795,0.9632721202003338,1
1998,JAN,0.000385059684251059,0.3530805687203791,0.4067524115755623,0.5973534971644607,0.7262103505843072,1
1999,JAN,0.08163265306122451,0.10308056872037952,0.30707395498392276,0.7783553875236295,0.330550918196995,2
2000,JAN,0.1624951867539469,0.07701421800947861,0.40192926045016075,0.8067107750472591,0.7512520868113521,1
2001,JAN,0.08586830958798615,0.06516587677725116,0.2636655948553053,0.6947069943289224,0.03005008347245408,2
2002,JAN,0.1405467847516365,0.14218009478672977,0.32958199356913176,0.7485822306238186,0.7045075125208682,3
2003,JAN,0.09010396611474779,0.15876777251184837,0.45016077170418023,0.7637051039697544,0.44073455759599334,2
2004,JAN,0.03966114747785907,0.15758293838862603,0.38263665594855323,0.6951795841209831,0.6143572621035058,3
2005,JAN,0.26068540623796693,0.23933649289099534,0.40192926045016075,0.8719281663516067,0.2854757929883138,2
