YEAR,MONTH,lluvia_mm,temp_max,temp_min,humedad,ph_suelo,Recomendacion
1981,JAN,2.64,23.9,14.19,88.79,6.25,riego
1982,JAN,3.3,24.54,14.02,89.43,6.58,poda_preventiva
1983,JAN,1.38,26.13,15.75,88.61,3.14,fertilizacion
1984,JAN,0.69,23.68,13.14,87.41,3.89,fertilizacion
1985,JAN,1.94,23.45,14.37,86.96,6.11,riego
1986,JAN,2.53,23.79,14.73,86.18,7.51,riego
1987,JAN,1.6,24.2,14.11,88.54,7.16,poda_preventiva
1988,JAN,2.52,25.36,12.39,84.68,6.65,riego
1989,JAN,0.45,24.62,15.66,83.94,6.91,riego
1990,JAN,1.64,24.95,15.6,86.3,7.84,riego
1991,JAN,3.09,24.22,13.41,87.09,5.85,fertilizacion
1992,JAN,0.14,24.89,14.23,83.61,7.36,riego
1993,JAN,0.28,27.21,14.62,82.13,5.44,riego
1994,JAN,0.02,26.14,14.49,80.26,3.28,fertilizacion
1995,JAN,0.16,26.49,14.46,80.72,7.7,riego
1996,JAN,1.43,24.78,14.18,85.92,7.92,riego
1997,JAN,2.01,24.92,12.68,83.46,3.44,fertilizacion
1998,JAN,0.03,26.32,14.45,85.96,4.6,fertilizacion
1999,JAN,2.14,24.21,13.83,89.79,7.6,poda_preventiva
2000,JAN,4.24,23.99,14.42,90.39,7.04,riego
2001,JAN,2.25,23.89,13.56,88.02,5.6,fertilizacion
2002,JAN,3.67,24.54,13.97,89.16,8.62,poda_preventiva
2003,JAN,2.36,24.68,14.72,89.48,4.76,fertilizacion
2004,JAN,1.05,24.67,14.3,88.03,3.86,fertilizacion
2005,JAN,6.79,25.36,14.42,91.77,7.24,poda_preventiva
2006,JAN,6.81,24.63,13.8,91.18,8.58,poda_preventiva
2007,JAN,3.33,24.02,16.38,89.84,8.42,poda_preventiva
2008,JAN,2.48,23.53,12.38,89.54,3.72,fertilizacion
2009,JAN,1.92,23.59,15.55,89.06,4.41,fertilizacion
2010,JAN,4.83,25.14,15.08,88.51,8.39,poda_preventiva
2011,JAN,4.84,24.33,14.43,89.29,4.02,fertilizacion
2012,JAN,4.25,23.34,14.89,89.48,4.67,fertilizacion
2013,JAN,0.87,24.39,14.57,88.19,6.07,poda_preventiva
2014,JAN,2.33,23.97,14.38,89.43,8.41,riego
2015,JAN,5.55,24.04,15.68,90.67,3.6,fertilizacion
2016,JAN,2.2,25.35,15.01,88.75,6.24,poda_preventiva
2017,JAN,4.29,24.67,14.69,89.49,5.53,fertilizacion
2018,JAN,11.85,23.96,15.68,93.54,7.32,riego
2019,JAN,0.73,25.95,15.13,87.04,6.21,poda_preventiva
2020,JAN,4.42,24.93,16.08,90.99,7.21,poda_preventiva
2021,JAN,3.27,24.24,13.59,90.49,8.46,poda_preventiva
2022,JAN,1.4,24.56,15.2,87.92,4.41,fertilizacion
2023,JAN,2.61,23.81,14.71,90.2,3.05,fertilizacion
2024,JAN,1.09,25.79,15.93,89.62,4.44,fertilizacion
1981,FEB,3.32,24.29,14.68,89.09,6.84,poda_preventiva
