-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in LST
Location: Latitude  9.6989   Longitude -83.7967 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1018.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface Total PAR (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETPROF               MERRA-2 Profile Soil Moisture (1) 
GWETROOT               MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP                MERRA-2 Surface Soil Wetness (1) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PRECTOTCORR_SUM        MERRA-2 Precipitation Corrected Sum (mm/day) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                 MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                 MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WS2M                   MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2005,13.86,17.88,17.3,16.58,16.1,15.58,16.5,15.2,14.77,13.68,13.03,16.24,15.55
ALLSKY_SFC_SW_DWN,2006,16.08,18.8,18.05,16.9,15.85,15.15,15.43,15.4,16.54,15.09,13.37,14.61,15.92
ALLSKY_SFC_SW_DWN,2007,15.82,19.88,19.83,17.8,15.14,15.55,15.28,16.22,16.59,13.58,12.99,13.65,16.0
ALLSKY_SFC_SW_DWN,2008,17.64,17.1,18.57,17.06,16.08,15.44,14.66,15.78,15.79,13.85,12.13,14.94,15.75
ALLSKY_SFC_SW_DWN,2009,15.37,17.63,18.56,18.04,15.23,16.01,15.24,14.75,17.59,13.86,12.91,14.44,15.78
ALLSKY_SFC_SW_DWN,2010,17.06,15.83,17.38,16.45,15.62,15.17,14.73,15.06,14.54,14.06,11.38,12.48,14.98
ALLSKY_SFC_SW_DWN,2011,15.17,18.16,19.43,16.87,16.13,15.52,14.93,16.52,15.93,12.53,13.08,12.89,15.58
ALLSKY_SFC_SW_DWN,2012,17.21,19.37,18.95,16.37,16.89,16.11,14.35,16.57,16.01,13.93,12.2,14.53,16.03
ALLSKY_SFC_SW_DWN,2013,17.01,18.16,17.22,16.97,15.91,15.31,14.72,15.09,15.61,14.96,14.42,16.77,16.0
ALLSKY_SFC_SW_DWN,2014,16.68,19.05,19.73,16.52,16.18,15.58,14.55,15.47,16.22,14.5,14.06,13.34,15.97
ALLSKY_SFC_SW_DWN,2015,16.45,17.32,19.15,18.01,15.06,14.88,14.27,15.82,15.65,15.79,14.58,15.69,16.05
